Episode_ID,総ステップ数,意図推定一致数,意図推定正答率(%),合理的選択数(マンハッタン),合理的選択率_Manhattan(%),合理的選択数(ユークリッド),合理的選択率_Euclidean(%)
1,100,80,80.0,62,62.0,63,63.0
2,100,78,78.0,62,62.0,62,62.0
3,61,48,78.7,44,72.1,45,73.8
4,100,75,75.0,75,75.0,73,73.0
5,100,76,76.0,68,68.0,68,68.0
6,100,73,73.0,66,66.0,58,58.0
7,100,73,73.0,59,59.0,61,61.0
8,100,76,76.0,60,60.0,61,61.0
9,100,80,80.0,68,68.0,66,66.0
10,100,86,86.0,60,60.0,60,60.0
11,100,73,73.0,64,64.0,58,58.0
12,100,83,83.0,82,82.0,82,82.0
13,100,59,59.0,63,63.0,66,66.0
14,52,48,92.3,33,63.5,33,63.5
15,100,74,74.0,77,77.0,77,77.0
16,100,65,65.0,52,52.0,54,54.0
17,100,74,74.0,65,65.0,64,64.0
18,100,76,76.0,65,65.0,67,67.0
19,100,68,68.0,54,54.0,60,60.0
20,100,78,78.0,57,57.0,61,61.0
