Episode,Step,Real,Est,Correct
1,1,prey2,prey2,True
1,2,prey2,prey2,True
1,3,prey2,prey2,True
1,4,prey2,prey2,True
1,5,prey1,prey1,True
1,6,prey1,prey1,True
1,7,prey1,prey1,True
1,8,prey1,prey1,True
1,9,prey1,prey1,True
1,10,prey1,prey1,True
1,11,prey1,prey1,True
1,12,prey1,prey1,True
2,1,prey2,prey2,True
2,2,prey2,prey2,True
2,3,prey2,prey2,True
2,4,prey2,prey2,True
2,5,prey2,prey2,True
2,6,prey2,prey2,True
2,7,prey1,prey1,True
2,8,prey2,prey2,True
2,9,prey2,prey2,True
2,10,prey2,prey2,True
2,11,prey1,prey1,True
2,12,prey1,prey1,True
2,13,prey1,prey1,True
2,14,prey1,prey1,True
2,15,prey1,prey1,True
2,16,prey1,prey1,True
2,17,prey1,prey1,True
3,1,prey2,prey2,True
3,2,prey2,prey2,True
3,3,prey2,prey2,True
3,4,prey2,prey2,True
3,5,prey2,prey2,True
3,6,prey2,prey2,True
3,7,prey2,prey2,True
3,8,prey2,prey2,True
3,9,prey2,prey2,True
3,10,prey2,prey2,True
3,11,prey2,prey2,True
3,12,prey2,prey2,True
4,1,prey2,prey2,True
4,2,prey2,prey2,True
4,3,prey2,prey2,True
4,4,prey2,prey2,True
4,5,prey2,prey2,True
4,6,prey2,prey2,True
4,7,prey2,prey2,True
4,8,prey2,prey2,True
4,9,prey2,prey2,True
4,10,prey2,prey2,True
4,11,prey2,prey2,True
4,12,prey2,prey2,True
4,13,prey2,prey2,True
4,14,prey2,prey2,True
4,15,prey2,prey2,True
4,16,prey2,prey2,True
5,1,prey1,prey1,True
5,2,prey1,prey1,True
5,3,prey1,prey1,True
5,4,prey1,prey1,True
5,5,prey1,prey1,True
5,6,prey1,prey1,True
5,7,prey1,prey1,True
5,8,prey1,prey1,True
5,9,prey1,prey1,True
5,10,prey1,prey1,True
5,11,prey1,prey1,True
5,12,prey1,prey1,True
5,13,prey1,prey1,True
6,1,prey2,prey2,True
6,2,prey2,prey2,True
6,3,prey2,prey2,True
6,4,prey2,prey2,True
6,5,prey2,prey2,True
7,1,prey2,prey2,True
7,2,prey2,prey2,True
7,3,prey2,prey2,True
7,4,prey2,prey2,True
7,5,prey2,prey2,True
8,1,prey1,prey1,True
8,2,prey1,prey1,True
8,3,prey1,prey1,True
8,4,prey1,prey1,True
8,5,prey1,prey1,True
8,6,prey1,prey1,True
8,7,prey1,prey1,True
9,1,prey1,prey1,True
9,2,prey1,prey1,True
9,3,prey1,prey1,True
9,4,prey1,prey1,True
9,5,prey1,prey1,True
9,6,prey1,prey1,True
9,7,prey2,prey2,True
9,8,prey2,prey2,True
9,9,prey1,prey1,True
10,1,prey1,prey1,True
10,2,prey1,prey1,True
10,3,prey1,prey1,True
10,4,prey1,prey1,True
10,5,prey1,prey1,True
10,6,prey2,prey2,True
10,7,prey1,prey1,True
11,1,prey2,prey2,True
11,2,prey2,prey2,True
11,3,prey2,prey2,True
11,4,prey2,prey2,True
11,5,prey2,prey2,True
11,6,prey2,prey2,True
11,7,prey2,prey2,True
11,8,prey2,prey2,True
11,9,prey2,prey2,True
11,10,prey2,prey2,True
11,11,prey2,prey2,True
12,1,prey2,prey2,True
12,2,prey2,prey2,True
12,3,prey2,prey2,True
12,4,prey2,prey2,True
12,5,prey2,prey2,True
12,6,prey2,prey2,True
12,7,prey2,prey2,True
12,8,prey2,prey2,True
12,9,prey2,prey2,True
12,10,prey2,prey2,True
12,11,prey2,prey2,True
12,12,prey2,prey2,True
13,1,prey2,prey2,True
13,2,prey2,prey2,True
13,3,prey2,prey2,True
13,4,prey2,prey2,True
14,1,prey1,prey1,True
14,2,prey1,prey1,True
14,3,prey1,prey1,True
14,4,prey1,prey1,True
15,1,prey2,prey2,True
15,2,prey2,prey2,True
15,3,prey2,prey2,True
15,4,prey2,prey2,True
15,5,prey2,prey2,True
16,1,prey2,prey2,True
16,2,prey2,prey2,True
17,1,prey2,prey2,True
18,1,prey2,prey2,True
18,2,prey2,prey2,True
18,3,prey2,prey2,True
18,4,prey2,prey2,True
18,5,prey2,prey2,True
18,6,prey2,prey2,True
18,7,prey2,prey2,True
18,8,prey2,prey2,True
18,9,prey2,prey2,True
19,1,prey2,prey2,True
19,2,prey2,prey2,True
19,3,prey2,prey2,True
19,4,prey2,prey2,True
19,5,prey2,prey2,True
20,1,prey1,prey1,True
20,2,prey1,prey1,True
20,3,prey1,prey1,True
20,4,prey1,prey1,True
20,5,prey1,prey1,True
20,6,prey1,prey1,True
20,7,prey1,prey1,True
